id,nombre,longitud,latitud,poblacion
1,COL. RESIDENCIAL VALLE DEL LAGO,29.07448248513143,-110.98744953586785,1438
2,COL. PRIVADAS DEL SAUCE,29.15358211985873,-111.00290040898089,649
3,COL. CAPERUZO,29.150295216438483,-110.98444990279383,779
4,COL. PASEO DE LAS MARGARITAS,29.13107668362434,-110.95784596553638,719
5,COL. VILLA SAUCES RESIDENCIAL,29.127400832138367,-111.02188301855875,269
6,COL. RESIDENCIAL REAL DE CASTILLA,29.08937472041261,-111.0279393869932,229
7,COL. INDECO CENTENARIO,29.074153887773395,-110.96904614356629,89
8,COL. LA CARIDAD,29.14847200301286,-110.98191528617173,3865
9,COL. REFORMA NORTE,29.11470158456304,-110.97741892391372,616
10,COL. RINCONADA DE LA CRUZ,29.084098855135966,-110.93021269218208,562
11,COL. LOMAS DEL MIRADOR,29.039837498382575,-110.94811254864788,789
12,COL. CERRADA SUAQUI GRANDE,29.1422230791662,-110.9656832791328,85
13,COL. SAN SEBASTIAN,29.150532519551284,-110.98713708736986,425
14,COL. RESIDENCIAL CAPISTRANO,29.09007121265336,-111.00075581198712,976
15,COL. AMPLIACION ALCATRACES,29.026606859862174,-110.97092165587229,328
16,COL. RINCON DE LAS FLORES,29.113602666512875,-111.00737570244425,49
17,COL. MESAVERDE,29.046051574668507,-111.0026747956593,216
18,COL. LOMAS ALTAS,29.106068035908827,-110.9372608267577,279
19,COL. SIN NOMBRE 1,29.0727723767557,-110.92598350649696,0
20,COL. SAN MARCOS,29.122774266046083,-111.03384564671397,2070
21,COL. MISION DEL ARCO,29.12073935531474,-110.99952467331569,546
22,COL. VIÑEDOS,29.117656759451492,-110.99442043520973,1200
23,COL. LA FLORESTA SECC CEIBA,29.127119919914282,-111.01312436622679,1001
24,COL. CALIFORNIA ETAPA V,29.117789686619627,-111.0636413841475,1294
25,COL. CORTIJO SECCION PIONEROS,29.149712473764204,-110.99112722741809,1180
26,COL. LORETO RESIDENCIAL,29.13204257011096,-110.95069335065656,59
27,COL. JACINTO LOPEZ,29.13964377572812,-110.97924113190767,6129
28,COL. SOLIDARIDAD,29.14062597225281,-111.00377316579127,16256
29,COL. PUEBLO ALTO,29.13182811507945,-110.95296181752231,16
30,COL. CAMPO GRANDE,29.083020134376515,-111.0414555396765,2308
31,COL. MISSION,29.11775237765932,-111.00531184841593,1606
32,COL. INSURGENTES,29.137296883377022,-110.96635345717242,8359
33,COL. SIENA RESIDENCIAL,29.09026226052783,-111.0123152204356,438
34,COL. ALTARES I,29.00068092639169,-110.94019436760237,4204
35,COL. 14 DE MARZO,29.05768200344916,-110.98713091917212,0
36,COL. PRIVADA DEL ROSARIO,29.084987333716185,-111.03060195360575,0
37,COL. ARANDANOS SECCION VILLA HERMOSA,29.03327926769142,-110.9659126150123,30
38,COL. PASEO DEL CID RESIDENCIAL,29.16144538830064,-110.97811437278966,142
39,COL. LAS ALAMEDAS,29.12006871759041,-111.02414589184383,106
40,COL. PUEBLO ESCONDIDO,29.15498540878601,-111.01656322672211,2345
41,COL. PANTEON,29.115221001183418,-111.0271285106874,0
42,COL. PASEO DEL SOL,29.080449152857042,-110.98494623791687,499
43,COL. QUINTAS GALICIA,29.079786933873827,-110.99068184777757,601
44,COL. LA CHOLLA,29.107078452000756,-111.04674340144811,6721
45,COL. EL RECODO,29.076061819293386,-110.97933153315114,102
46,COL. SAHUARO INDECO,29.10222555233004,-110.9968460043735,2517
47,COL. PILARES PORTAL,29.15597062438584,-110.99663167602746,101
48,COL. PRIVADA LOS SAUCES,29.074573722395748,-110.93131746979392,0
49,COL. MONTECARLO,29.064758775703453,-110.99612158799836,3772
50,COL. RIO GRANDE,29.064620332674426,-110.97439536735196,543
51,COL. ALTARES AMANECERES,29.01093806428559,-110.94159239296674,226
52,COL. VALLE BONITO,29.07846222901389,-110.98623442729658,759
53,COL. MANLIO FABIO BELTRONES,29.141806032692784,-111.0160749115556,752
54,COL. ROMANZA RESIDENCIAL,29.155335217453537,-111.00309565925564,1530
55,COL. PASEO REAL RESIDENCIAL,29.05472081038343,-110.9982073389226,1466
56,COL. VALLE DE MARQUEZ,29.026176300237335,-110.94428137580675,2854
57,COL. SAN JERONIMO,29.114807630999092,-110.99751439309783,334
58,COL. VILLA FONTANA,29.115777897033404,-110.99601164079611,480
59,COL. DALI,29.086455041257864,-111.01650499122479,30
60,COL. REAL DEL LLANO,29.08734247058904,-111.03926784032929,1222
61,COL. SAN LORENZO,29.13357014636933,-110.96045332639349,713
62,COL. LAS LOMAS,29.036217152421884,-110.94635126540217,990
63,COL. CARDENO ETAPA CELESTE II,29.157578847624833,-110.96966675585452,80
64,COL. NUEVA GALICIA,29.07980051392291,-110.98881813287429,629
65,COL. COLOSO BAJO,29.07966689158711,-110.93398219880963,879
66,COL. FRANCISCO VILLA,29.116805103382394,-110.97493198871071,1401
67,COL. SAN BOSCO,29.11974508721369,-111.03158201610927,4041
68,COL. LAS AVES,29.11758291571619,-110.98821641817486,575
69,COL. TIERRA NUEVA,29.16920653467628,-111.01258012599966,6089
70,COL. LAS GRANJAS,29.074897180866387,-110.97414453938578,4025
71,COL. ISSSTE,29.107140320377596,-110.95197841962496,369
72,COL. PLAZA REAL,29.12235459205176,-110.99991579148107,850
73,COL. NUEVO HORIZONTE,29.151869147749917,-110.98833730064544,186
74,COL. VALLE DEL PORTAL,29.136201734099277,-111.0043488910703,1343
75,COL. LOMAS DE REFORMA,29.15633226274147,-110.98036958261497,261
76,COL. PROYECTO COLONIA ALTARES,28.993723210144495,-110.9460693539373,46
77,COL. BELLA VISTA (1),29.116217852714843,-110.98816583249462,290
78,COL. ATARDECERES,29.120662050577753,-110.98289190510368,716
79,COL. ADOLFO LOPEZ MATEOS (NORTE),29.107787292784966,-110.99549985158944,505
80,COL. SAN ANGEL,29.056969297909433,-110.97513577111796,2785
81,COL. LA ANTORCHA,29.12599079179441,-111.04288669771586,558
82,COL. LOS GIRASOLES,29.02517847739311,-110.96421939342511,999
83,COL. PRIVADA DOS LAS LOMAS,29.03929158558676,-110.9455499687636,99
84,COL. CUARTEL PITIC,29.106368911885458,-110.9345957559797,111
85,COL. VILLA VENTURA,29.106743833029476,-110.93918527518694,114
86,COL. PUERTA ESMERALDA,29.049769292015448,-110.99780767292002,517
87,COL. LA JOLLA,29.110393719107776,-110.93974050532876,324
88,COL. HACIENDA DEL SOL,29.1039919180605,-111.01740238615542,539
89,COL. PUEBLITOS SECC PAPAGOS,29.157417549578128,-111.00670747201359,487
90,COL. AMPLIACIN 4 DE MARZO,29.152582528581107,-110.99248919048829,781
91,COL. OASIS DEL SOL,29.04891852478543,-111.00178594685251,1028
92,COL. LAS PALMAS,29.07097899980717,-110.95812250062083,444
93,COL. VENTURA CLUB RESIDENCIAL,29.123925247058523,-110.91910159085732,119
94,COL. REAL DEL VALLE,29.167046303518404,-111.01968122066634,5944
95,COL. SAN RAFAEL,29.136060748762194,-110.95955249686156,0
96,COL. LAS LOMAS SECCION BONITA,29.043697215073166,-110.94301577214004,2243
97,COL. PRADOS DEL CENTENARIO,29.079355399379196,-110.96954782584059,518
98,COL. AGAVES RESIDENCIAL,29.014399115818307,-110.97292810347122,1179
99,COL. BUGAMBILIAS,29.116314667560566,-110.9562380874914,2431
100,COL. RESIDENCIAL LA RIOJA NORTE,29.1316715671281,-110.945986407656,307
101,COL. ARBOLEDAS,29.002402777809852,-110.9302568372246,1953
102,COL. FRANCISCO ROMERO,29.134198768572002,-111.01010943999911,867
103,COL. OASIS LANTANA,29.130497105655532,-111.01318854913085,865
104,COL. LA VERBENA,29.06695831454757,-110.98845961478183,2918
105,COL. LOS PORTALES,29.077150470706286,-110.99412683751903,893
106,COL. PRIVADAS DEL BOSQUE,29.150249389961925,-111.00426134919998,2290
107,COL. UNION DE LADRILLEROS,29.12370742337652,-111.0256326721071,470
108,COL. LOS CIRIOS,29.022330860624756,-110.94409931124272,338
109,COL. SOLEIL RESIDENCIAL,29.05530085078663,-110.99306732212754,1704
110,COL. MIGUEL HIDALGO,29.13531472880905,-110.99140563569964,5591
111,COL. SACRAMENTO RESIDENCIAL,29.118219113585273,-110.9543038175979,790
112,COL. LOMAS DE MADRID,29.1296954755274,-110.97661506411049,5734
113,COL. VIRREYES,29.12582641635814,-110.99617491129737,1518
114,COL. LAS LOMAS SECC LOS MANZANOS,29.049348571398028,-110.94463601671842,794
115,COL. LOS MIRASOLES,29.100826826486795,-111.00341368128672,1476
116,COL. CASA LINDA,29.025357339125517,-110.9661363241499,731
117,COL. LA CAMPIÑA,29.13227496251224,-111.02649372784494,810
118,COL. LOS NARANJOS,29.07675699966129,-110.92673223684965,2784
119,COL. HACIENDA RESIDENCIAL,29.146301567665912,-110.98553619595431,405
120,COL. EL LLANITO (1),29.102014946636373,-111.02130454104382,59
121,COL. VILLA DE PARRAS,29.083993115398282,-111.0077059236339,887
